network_config,strategy,strategy_params,neg_pos_ratio,pred_threshold,evidence_ratio,occ_thr,edge_thr,weight_thr,total_samples,positive_samples,negative_samples,negative_candidates_count,evaluated_days,skipped_days,tp,fp,tn,fn,precision,recall,f1_score,accuracy,selection_criteria
Restrictive,RecentActivity,{'max_recent_floods': 2},1.0,0.2,0.2,4,3,0.4,230,115,115,16,28,25,54,7,108,61,0.8852459016393442,0.46956521739130436,0.6136363636363635,0.7043478260869566,high_precision
Restrictive,RecentActivity,{'max_recent_floods': 2},1.0,0.2,0.3,4,3,0.4,214,107,107,16,28,25,54,9,98,53,0.8571428571428571,0.5046728971962616,0.6352941176470588,0.7102803738317757,high_precision
Restrictive,RecentActivity,{'max_recent_floods': 2},1.0,0.2,0.5,4,3,0.4,158,79,79,16,28,25,54,18,61,25,0.75,0.6835443037974683,0.7152317880794701,0.7278481012658228,high_precision
Restrictive,RecentActivity,{'max_recent_floods': 2},1.0,0.3,0.2,4,3,0.4,230,115,115,16,28,25,36,4,111,79,0.9,0.3130434782608696,0.4645161290322581,0.6391304347826087,high_precision
Restrictive,RecentActivity,{'max_recent_floods': 2},1.0,0.3,0.3,4,3,0.4,214,107,107,16,28,25,36,5,102,71,0.8780487804878049,0.3364485981308411,0.4864864864864865,0.6448598130841121,high_precision
Restrictive,RecentActivity,{'max_recent_floods': 2},1.0,0.3,0.5,4,3,0.4,158,79,79,16,28,25,35,11,68,44,0.7608695652173914,0.4430379746835443,0.5599999999999999,0.6518987341772152,high_precision
Restrictive,RecentActivity,{'max_recent_floods': 2},1.0,0.4,0.2,4,3,0.4,230,115,115,16,28,25,16,1,114,99,0.9411764705882353,0.1391304347826087,0.24242424242424238,0.5652173913043478,high_precision
Restrictive,RecentActivity,{'max_recent_floods': 2},1.0,0.4,0.3,4,3,0.4,214,107,107,16,28,25,19,2,105,88,0.9047619047619048,0.17757009345794392,0.296875,0.5794392523364486,high_precision
Restrictive,RecentActivity,{'max_recent_floods': 2},1.0,0.4,0.5,4,3,0.4,158,79,79,16,28,25,20,8,71,59,0.7142857142857143,0.25316455696202533,0.3738317757009346,0.5759493670886076,high_precision
Restrictive,RecentActivity,{'max_recent_floods': 2},1.0,0.5,0.2,4,3,0.4,230,115,115,16,28,25,1,0,115,114,1.0,0.008695652173913044,0.017241379310344827,0.5043478260869565,high_precision
Restrictive,RecentActivity,{'max_recent_floods': 2},2.0,0.2,0.2,4,3,0.4,311,115,196,16,28,25,54,14,182,61,0.7941176470588235,0.46956521739130436,0.5901639344262295,0.7588424437299035,high_precision
Restrictive,RecentActivity,{'max_recent_floods': 2},2.0,0.2,0.3,4,3,0.4,298,107,191,16,28,25,54,20,171,53,0.7297297297297297,0.5046728971962616,0.5966850828729281,0.7550335570469798,high_precision
Restrictive,RecentActivity,{'max_recent_floods': 2},2.0,0.3,0.2,4,3,0.4,311,115,196,16,28,25,36,6,190,79,0.8571428571428571,0.3130434782608696,0.4585987261146497,0.7266881028938906,high_precision
Restrictive,RecentActivity,{'max_recent_floods': 2},2.0,0.3,0.3,4,3,0.4,298,107,191,16,28,25,36,10,181,71,0.782608695652174,0.3364485981308411,0.47058823529411764,0.7281879194630873,high_precision
Restrictive,RecentActivity,{'max_recent_floods': 2},2.0,0.4,0.2,4,3,0.4,311,115,196,16,28,25,16,1,195,99,0.9411764705882353,0.1391304347826087,0.24242424242424238,0.6784565916398714,high_precision
Restrictive,RecentActivity,{'max_recent_floods': 2},2.0,0.4,0.3,4,3,0.4,298,107,191,16,28,25,19,6,185,88,0.76,0.17757009345794392,0.2878787878787879,0.6845637583892618,high_precision
Restrictive,RecentActivity,{'max_recent_floods': 2},2.0,0.5,0.2,4,3,0.4,311,115,196,16,28,25,1,0,196,114,1.0,0.008695652173913044,0.017241379310344827,0.6334405144694534,high_precision
