A,B,countA,countB,countAB,confA2B,confB2A,lift
CONCORD ST,WASHINGTON ST,6,53,5,0.8333,0.0943,2.2484
BOGARD ST,WASHINGTON ST,6,53,5,0.8333,0.0943,2.2484
ASHLEY AVE,CANNON ST,45,10,7,0.1556,0.7000,2.2244
CALHOUN ST,OGIER ST,36,18,10,0.2778,0.5556,2.2068
CANNON PARK,WASHINGTON ST,10,53,8,0.8000,0.1509,2.1585
AMERICA ST,RUTLEDGE AVE,15,31,7,0.4667,0.2258,2.1527
BULL ST,RUTLEDGE AVE,15,31,7,0.4667,0.2258,2.1527
BEAUFAIN ST,S MARKET ST,14,38,8,0.5714,0.2105,2.1504
BULL ST,FISHBURNE ST,15,27,6,0.4000,0.2222,2.1185
ASHLEY AVE,DRAKE ST,45,9,6,0.1333,0.6667,2.1185
DRAKE ST,S MARKET ST,9,38,5,0.5556,0.1316,2.0906
PRESIDENT ST,RUTLEDGE AVE,20,31,9,0.4500,0.2903,2.0758
BARRE ST,CALHOUN ST,23,36,12,0.5217,0.3333,2.0725
FISHBURNE ST,OGIER ST,27,18,7,0.2593,0.3889,2.0597
AMERICA ST,S MARKET ST,15,38,8,0.5333,0.2105,2.0070
BARRE ST,RUTLEDGE AVE,23,31,10,0.4348,0.3226,2.0056
